Title,Latitude,Longitude,Date,Elevation,site_no,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH,normalized_turbidity,normalized_water_temp,normalized_specific_conductance,distance_from_mean,normalized_pH,cwi,cwi_100
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104420.0,13.0,1070.0,,6.385135054264532,,5.051792828685259,5.3198127925117,1.1129684814214738,5.5524095248673,5.271403302973397,47
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104430.0,17.3,786.0,,9.040933995767254,,6.5936254980079685,3.842953718148726,1.542830460081249,3.8339836783966574,5.019250183873526,45
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104453.0,14.5,484.0,,8.895921627938286,,5.589641434262948,2.2724908996359856,1.3978180922522805,4.413688358750436,4.3058975456516695,37
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104455.0,14.6,1300.0,1.1,7.345329490303435,0.1082098061573546,5.625498007968128,6.515860634425376,0.1527740453825705,9.39090424745476,4.9014653206136725,43
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104460.0,13.9,565.0,,7.5422610308618685,,5.374501992031872,2.6937077483099325,0.0441574951758632,9.825112194413965,5.880163694506202,54
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1104475.0,13.8,319.0,,7.053559099705439,,5.338645418326694,1.4144565782631304,0.4445444359805668,8.224516417571195,5.041983178092677,45
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1168250.0,10.1,91.0,,8.634772232133669,,4.01195219123506,0.2288091523660946,1.136668696447663,5.457665015955636,3.344114987192664,26
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1170100.0,11.5,,,8.343716724983215,,4.51394422310757,,0.8456131892972101,6.621195011803027,5.356844538585753,48
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,1173000.0,13.3,,,8.710381644695408,,5.159362549800797,,1.2122781090094028,5.155407139630663,5.157780385732743,46
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,2023-10-11,6.011198043823242,422302000000000.0,19.1,615.0,,7.374484633811042,,7.239043824701196,2.953718148725949,0.1236189018749636,9.507455500294656,6.6627826817349725,63
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1095220.0,12.2,117.0,,8.744535899305236,,4.764940239043824,0.3640145605824232,1.2464323636192305,5.018871328597886,3.580084642213156,29
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1095375.0,13.9,173.0,,7.541275013074981,,5.374501992031872,0.6552262090483619,0.0431714773889755,9.829053921140646,5.298866605210519,48
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1095434.0,12.6,833.0,,6.533726797729567,,4.908366533864542,4.087363494539781,0.964376737956438,6.146423197205952,5.027524712155014,45
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1100568.0,15.4,,,6.147686487941734,,5.912350597609562,,1.350417047744271,4.603179832935313,5.388682291739862,49
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1104370.0,12.7,355.0,,8.648406195675827,,4.944223107569721,1.6016640665626625,1.1503026599898218,5.403161578797202,4.120331516204128,35
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1104405.0,12.6,300.0,,6.214489039395684,,4.908366533864542,1.315652626105044,1.2836144962903209,4.870231204602473,3.8709810375726654,32
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1104410.0,12.5,1100.0,,8.033768751001285,,4.872509960159363,5.475819032761311,0.5356652153152792,7.860249955002171,5.898523979429294,54
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1104415.0,13.6,,,7.740748820088098,,5.266932270916334,,0.2426452844020925,9.031632975157102,6.772812552612642,64
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1104420.0,13.0,1070.0,,6.385135054264532,,5.051792828685259,5.3198127925117,1.1129684814214738,5.5524095248673,5.271403302973397,47
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,2023-10-11,20.4704704284668,1104430.0,17.3,786.0,,9.040933995767254,,6.5936254980079685,3.842953718148726,1.542830460081249,3.8339836783966574,5.019250183873526,45
